,fi
angle,0.05797930375295657
distance,0.05503851358839795
interveningOpponents,0.04429950882374258
playType_پنالتی,0.014579989428851192
interveningTeammates,0.008254062695025204
interferenceOnShooter_کم,0.008143030703976928
bodyPart_سایر,0.0047698346751587906
playType_جریان بازی,0.003834379173622171
bodyPart_سر,0.0036474489137388044
second,0.002513770688626016
interferenceOnShooter_متوسط,0.0005203356658105562
playType_مستقیم از کرنر,0.00034311670885833756
minute,0.0
playType_ضربه آزاد مستقیم,0.0
bodyPart_پا,0.0
interferenceOnShooter_زیاد,0.0
